driver,race,points
Nico Rosberg,Canadian Grand Prix,10
Jenson Button,Spanish Grand Prix,2
Daniel Ricciardo,Bahrain Grand Prix,12
Lewis Hamilton,Hungarian Grand Prix,25
Kimi Raikkonen,Hungarian Grand Prix,8
Carlos Sainz,Chinese Grand Prix,2
Sebastian Vettel,Singapore Grand Prix,10
Nico Hulkenberg,British Grand Prix,6
Max Verstappen,Canadian Grand Prix,12
Lewis Hamilton,German Grand Prix,25
Sebastian Vettel,Hungarian Grand Prix,12
Valtteri Bottas,Italian Grand Prix,8
Daniel Ricciardo,Belgian Grand Prix,18
Lewis Hamilton,Italian Grand Prix,18
Daniel Ricciardo,Singapore Grand Prix,18
Daniel Ricciardo,European Grand Prix,6
Romain Grosjean,Russian Grand Prix,4
Sebastian Vettel,Chinese Grand Prix,18
Carlos Sainz,Hungarian Grand Prix,4
Max Verstappen,Austrian Grand Prix,18
Kimi Raikkonen,Austrian Grand Prix,15
Stoffel Vandoorne,Bahrain Grand Prix,1
Carlos Sainz,Canadian Grand Prix,2
Valtteri Bottas,Spanish Grand Prix,10
Sebastian Vettel,Monaco Grand Prix,12
Daniel Ricciardo,Austrian Grand Prix,10
Pascal Wehrlein,Austrian Grand Prix,1
Max Verstappen,European Grand Prix,4
Daniil Kvyat,British Grand Prix,1
Valtteri Bottas,Canadian Grand Prix,15
Kimi Raikkonen,European Grand Prix,12
Sebastian Vettel,Spanish Grand Prix,15
Romain Grosjean,Australian Grand Prix,8
Nico Hulkenberg,Hungarian Grand Prix,1
Max Verstappen,Hungarian Grand Prix,10
Felipe Massa,Italian Grand Prix,2
Kimi Raikkonen,Canadian Grand Prix,8
Lewis Hamilton,Austrian Grand Prix,25
Romain Grosjean,Bahrain Grand Prix,10
Sergio Perez,Spanish Grand Prix,6
Nico Rosberg,Austrian Grand Prix,12
Max Verstappen,Spanish Grand Prix,25
Nico Rosberg,Singapore Grand Prix,25
Fernando Alonso,Monaco Grand Prix,10
Felipe Massa,Australian Grand Prix,10
Kimi Raikkonen,Singapore Grand Prix,12
Daniel Ricciardo,Monaco Grand Prix,18
Kimi Raikkonen,Spanish Grand Prix,18
Daniil Kvyat,Singapore Grand Prix,2
Carlos Sainz,Monaco Grand Prix,4
Nico Rosberg,Bahrain Grand Prix,25
Jenson Button,German Grand Prix,4
Sebastian Vettel,British Grand Prix,2
Valtteri Bottas,German Grand Prix,2
Daniel Ricciardo,Chinese Grand Prix,12
Lewis Hamilton,Canadian Grand Prix,25
Daniel Ricciardo,British Grand Prix,12
Lewis Hamilton,Monaco Grand Prix,25
Sergio Perez,Belgian Grand Prix,10
Fernando Alonso,Hungarian Grand Prix,6
Lewis Hamilton,Australian Grand Prix,18
Romain Grosjean,Austrian Grand Prix,6
Daniel Ricciardo,Spanish Grand Prix,12
Max Verstappen,British Grand Prix,18
Nico Hulkenberg,Australian Grand Prix,6
Carlos Sainz,Australian Grand Prix,2
Felipe Massa,Bahrain Grand Prix,4
Valtteri Bottas,Russian Grand Prix,12
Kimi Raikkonen,German Grand Prix,8
Sergio Perez,Russian Grand Prix,2
Nico Rosberg,Belgian Grand Prix,25
Daniil Kvyat,Chinese Grand Prix,15
Daniel Ricciardo,Hungarian Grand Prix,15
Daniel Ricciardo,German Grand Prix,18
Sergio Perez,Italian Grand Prix,4
Kevin Magnussen,Singapore Grand Prix,1
Kimi Raikkonen,Russian Grand Prix,15
Kimi Raikkonen,Italian Grand Prix,12
Sebastian Vettel,Australian Grand Prix,15
Nico Hulkenberg,German Grand Prix,6
Sebastian Vettel,Belgian Grand Prix,8
Daniel Ricciardo,Australian Grand Prix,12
Max Verstappen,Singapore Grand Prix,8
Daniil Kvyat,Spanish Grand Prix,1
Max Verstappen,German Grand Prix,15
Max Verstappen,Australian Grand Prix,1
Valtteri Bottas,Hungarian Grand Prix,2
Valtteri Bottas,European Grand Prix,8
Sergio Perez,European Grand Prix,15
Jenson Button,Monaco Grand Prix,2
Felipe Massa,Belgian Grand Prix,1
Nico Rosberg,Hungarian Grand Prix,18
Lewis Hamilton,Chinese Grand Prix,6
Felipe Massa,Monaco Grand Prix,1
Felipe Massa,European Grand Prix,1
Jenson Button,Austrian Grand Prix,8
Sergio Perez,Singapore Grand Prix,4
Kimi Raikkonen,Bahrain Grand Prix,18
Sebastian Vettel,Canadian Grand Prix,18
Lewis Hamilton,European Grand Prix,10
Daniel Ricciardo,Canadian Grand Prix,6
Valtteri Bottas,Austrian Grand Prix,2
Nico Rosberg,Russian Grand Prix,25
Carlos Sainz,British Grand Prix,4
Nico Hulkenberg,Canadian Grand Prix,4
Nico Hulkenberg,European Grand Prix,2
Nico Rosberg,British Grand Prix,15
Felipe Massa,Spanish Grand Prix,4
Nico Rosberg,Monaco Grand Prix,6
Sebastian Vettel,European Grand Prix,18
Valtteri Bottas,Chinese Grand Prix,1
Nico Rosberg,Chinese Grand Prix,25
Sebastian Vettel,German Grand Prix,10
Sebastian Vettel,Italian Grand Prix,15
Nico Rosberg,German Grand Prix,12
Lewis Hamilton,Singapore Grand Prix,15
Kimi Raikkonen,Belgian Grand Prix,2
Nico Hulkenberg,Italian Grand Prix,1
Carlos Sainz,Austrian Grand Prix,4
Lewis Hamilton,Russian Grand Prix,18
Kimi Raikkonen,Chinese Grand Prix,10
Nico Hulkenberg,Belgian Grand Prix,12
Lewis Hamilton,British Grand Prix,25
Nico Rosberg,Italian Grand Prix,25
Daniel Ricciardo,Italian Grand Prix,10
Sergio Perez,British Grand Prix,8
Valtteri Bottas,Australian Grand Prix,4
Carlos Sainz,Spanish Grand Prix,8
Sergio Perez,German Grand Prix,1
Valtteri Bottas,Bahrain Grand Prix,2
Daniil Kvyat,Bahrain Grand Prix,6
Lewis Hamilton,Belgian Grand Prix,15
Fernando Alonso,Singapore Grand Prix,6
Kimi Raikkonen,British Grand Prix,10
Nico Rosberg,Australian Grand Prix,25
Jenson Button,Russian Grand Prix,1
Fernando Alonso,Belgian Grand Prix,6
Sergio Perez,Canadian Grand Prix,1
Max Verstappen,Bahrain Grand Prix,8
Fernando Alonso,Russian Grand Prix,8
Max Verstappen,Italian Grand Prix,6
Felipe Massa,Chinese Grand Prix,8
Sergio Perez,Monaco Grand Prix,15
Valtteri Bottas,Belgian Grand Prix,4
Lewis Hamilton,Bahrain Grand Prix,15
Nico Hulkenberg,Monaco Grand Prix,8
Max Verstappen,Chinese Grand Prix,4
Nico Rosberg,European Grand Prix,25
Kevin Magnussen,Russian Grand Prix,6
Felipe Massa,Russian Grand Prix,10