driver,team,points
Jenson Button,McLaren,17
Lewis Hamilton,Mercedes,265
Max Verstappen,Toro Rosso,13
Carlos Sainz,Toro Rosso,30
Stoffel Vandoorne,McLaren,1
Pascal Wehrlein,Manor Marussia,1
Nico Rosberg,Mercedes,273
Valtteri Bottas,Williams,70
Felipe Massa,Williams,41
Max Verstappen,Red Bull,116
Kevin Magnussen,Renault,7
Kimi Raikkonen,Ferrari,148
Daniel Ricciardo,Red Bull,179
Fernando Alonso,McLaren,36
Romain Grosjean,Haas F1 Team,28
Sebastian Vettel,Ferrari,153
Nico Hulkenberg,Force India,46
Daniil Kvyat,Toro Rosso,4
Sergio Perez,Force India,66
Daniil Kvyat,Red Bull,21